Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
1617,31,399,53,8492,1158
5877,32,3150,475,5529,942
4823,32,1717,195,6244,909
6020,27,301,41,441,39
5127,38,474,51,8191,961
4334,29,650,90,9120,1126
1757,28,3100,421,7821,1052
4261,22,4539,929,3998,754
2354,28,2861,431,3536,499
3283,20,3789,410,4040,566
1959,31,771,65,6254,773
2741,32,3951,688,4974,929
178,33,4448,674,6561,1038
3363,25,2739,483,2891,628
1647,19,391,47,9210,1240
3677,35,1646,227,1335,255
1808,33,1464,226,1546,353
2597,35,285,33,147,33
1002,28,6860,885,573,81
2373,32,5022,809,908,133
718,28,3232,312,623,125
3752,29,6561,1087,693,158
1679,24,3881,568,14693,2307
1640,24,537,39,12031,1363
931,28,608,76,745,137
1671,19,3503,555,7076,1128
3305,34,3051,361,4463,714
437,29,4033,469,7865,1009
4158,23,768,99,9687,1709
1321,30,7498,1016,1794,266
2485,32,2743,328,2272,421
5097,24,790,67,915,125
2162,38,3515,490,3245,351
4077,33,783,115,13077,3001
2022,29,3614,446,3664,528
1984,29,5105,620,5340,1081
884,36,10245,1350,1271,174
1040,25,514,72,2562,418
154,29,571,88,8451,2101
1645,28,4400,585,257,37
960,29,529,70,12371,2325
973,28,4300,346,584,90
2692,31,6745,770,648,114
942,31,434,33,12003,1468
1869,23,531,56,9656,1603
74,33,2944,416,4511,538
662,24,369,50,205,51
5660,28,2088,331,8850,1446
5750,23,1176,147,1478,194
6137,33,1177,148,8347,1128
3398,33,2162,197,4961,650
2941,32,4406,720,500,75
2261,53,2466,248,5025,852
5599,28,3948,760,3513,716
3381,68,1574,776,1560,867
1225,29,346,30,4259,591
4000,26,3211,405,7350,935
2798,26,422,46,6183,1036
1693,29,9227,1577,441,71
109,22,2869,359,4781,395
5214,26,500,59,9139,1716
5591,29,6037,1077,725,104
4207,20,445,77,5221,1140
5806,36,2853,231,543,77
2915,29,407,58,4576,688
3092,37,1590,227,9334,1578
2136,20,2025,297,5275,871
5655,26,5378,839,5563,972
30,22,6773,1302,741,88
4985,53,2894,812,4611,1454
5159,22,1913,258,251,50
5297,26,1725,199,350,73
5236,27,5115,780,8946,1469
4239,29,2454,366,3840,551
5933,32,4875,675,8693,1172
3399,20,3697,367,5981,844
5170,25,544,73,7156,1154
5067,28,9734,1732,949,174
3520,25,1368,116,1902,244
1743,31,443,63,7244,892
5177,23,3012,359,6189,904
3002,34,1640,228,2581,430
6034,23,1197,189,9499,1045
3780,25,589,59,6608,1015
5021,36,1261,174,13550,1797
1967,33,2375,220,6368,751
3826,32,3562,356,6174,727
2728,32,4420,725,987,210
6070,27,9544,1571,601,109
4276,25,7941,938,769,127
4870,18,646,101,10807,1608
1651,38,545,73,6455,1095
3740,39,5357,818,7013,1060
1320,36,1660,254,5134,855
2834,26,5145,558,530,93
944,29,662,82,16255,3353
5917,26,285,26,153,33
3370,30,3439,499,6371,922
4931,29,2123,296,2942,508
2420,28,2045,400,2897,498
5475,26,8221,1116,452,66
3860,22,2830,408,4859,775
5888,27,4236,699,4202,740
3132,31,484,62,10740,1961
4118,23,1762,278,2635,509
1842,18,17103,3757,1078,221
3523,41,4656,848,8754,1673
1600,28,4208,474,5865,824
2932,33,3007,363,4503,570
1335,25,461,45,8557,1458
2401,18,2884,595,2040,453
4950,24,3406,351,5744,560
3633,33,8880,880,883,127
1850,21,5631,984,2030,361
1994,28,12618,3434,673,187
977,33,631,53,12014,1827
2717,31,4625,550,414,80
542,30,4252,701,367,69
5384,39,8846,1520,970,174
5880,32,5675,712,8299,899
4010,36,537,60,9512,1358
3031,35,500,53,5226,712
3380,57,4839,2339,482,212
2168,39,1550,187,1510,205
5885,22,850,156,9146,1923
5700,23,2374,381,3945,570
4075,21,560,78,8954,1195
6126,34,553,67,6406,944
5184,33,2239,327,4360,806
6110,31,6664,1181,741,137
2985,25,303,25,153,29
5381,25,472,73,13657,1599
4107,28,8053,1274,954,192
5572,29,644,84,12341,2228
2960,24,8956,1201,758,153
4850,33,338,39,3583,465
2363,27,2676,385,6838,1087
5988,24,9483,1179,1204,219
3963,33,515,56,10017,1267
5769,28,443,47,3940,588
4049,24,709,62,8665,863
3191,24,344,34,5951,877
1968,40,452,90,227,60
3893,45,409,55,4296,721
1884,22,7481,935,1005,164
5180,30,5446,674,6437,890
5884,24,3955,498,327,63
3324,23,8445,1548,620,124
6123,18,6397,939,716,134
5879,31,15299,3176,1220,260
6140,33,2449,356,8604,1180
3072,22,3779,694,5196,1161
5955,21,311,44,166,43
3051,44,1656,185,2420,319
3962,27,10462,1145,516,61
5378,29,489,55,6281,740
5708,27,1990,396,5346,1198
6080,33,9070,1234,916,148
3433,34,452,76,282,80
5672,25,504,67,9872,1364
3091,31,495,76,7143,1238
5534,32,345,22,2292,338
3150,27,6193,829,856,148
5633,31,2695,304,5623,678
4173,20,1259,142,3987,756
4046,32,4076,388,4422,556
1344,27,631,66,13442,1685
3913,25,3527,690,6397,1019
5321,28,278,30,165,45
5091,35,436,48,9153,1317
3842,30,3192,331,3774,467
2403,32,5021,595,653,106
4161,26,280,28,182,33
2187,35,4158,437,5026,611
5567,30,3712,479,7827,1051
3171,33,3056,487,4737,802
5670,30,3985,407,6346,683
3141,26,2045,270,2472,387
5476,26,6331,676,832,119
4067,30,11078,1954,900,184
2202,18,2650,341,7356,1088
3694,38,4002,650,355,72
3280,26,479,42,7794,1439
1899,25,720,80,12154,1872
5550,38,608,74,10784,1673
4215,30,3181,529,228,60
3582,26,497,64,8481,1502
2434,26,395,42,5891,730
5129,28,4166,492,5324,582
1590,39,9704,1598,518,98
2161,30,1835,246,3412,516
5858,24,545,62,15797,2170
3927,35,6386,969,543,95
4185,36,2795,419,3472,550
2461,27,859,107,12685,1906
5366,24,3154,378,3202,444
4186,32,2572,449,14854,3373
5237,26,659,71,8153,1208
3709,25,382,36,245,48
3778,33,372,39,4332,676
1334,37,5485,718,399,69
4824,23,404,29,18857,3375
2442,23,493,66,10684,2648
3574,30,560,52,6415,916
2114,32,2406,273,3294,449
2044,26,3284,508,5084,608
989,30,598,94,9542,1687
3592,25,2611,412,4282,764
1251,26,568,82,547,141
3183,31,2124,241,5026,682
2356,42,577,72,10827,1273
1795,30,4012,426,4553,651
732,36,4338,717,4756,804
1102,25,4061,474,3796,451
3055,22,2329,289,2025,277
5518,24,2224,199,6632,726
3534,29,3090,445,4968,866
4099,15,6603,651,871,95
2848,28,260,33,133,28
5874,37,522,68,12976,2088
3606,32,2565,466,7631,1484
5915,30,440,45,9499,1225
3450,60,688,362,539,296
4036,25,2664,390,3056,529
1689,37,9096,1463,437,86
3697,32,465,57,8064,862
1861,29,5453,934,846,192
5157,25,590,51,9337,1804
4909,34,8974,1295,488,66
6104,22,9226,1248,1061,182
4008,21,1879,291,2391,361
3253,30,4907,695,5287,834
4205,29,508,55,8316,1703
1828,37,1055,155,3047,482
2179,24,592,68,3257,415
3868,33,6438,1178,419,104
1111,26,7120,1325,10415,2036
4201,31,4259,472,496,96
1324,41,502,66,10670,1200
1883,39,2248,217,3025,408
978,23,596,101,7640,1110
5070,23,1231,173,7280,1167
1955,35,509,59,9383,1455
3155,35,673,58,8907,1245
1047,30,3261,405,4577,656
1844,35,890,142,1675,317
753,21,5216,963,7506,1499
2733,27,2018,214,3451,479
266,34,318,27,144,24
4190,35,5540,575,1865,290
2174,25,5801,664,432,70
4160,28,511,71,7305,1047
2776,23,2083,300,6507,1116
5073,31,3810,464,3247,481
2236,27,6837,732,8039,900
2402,43,351,39,2703,512
805,24,2164,186,4549,487
1432,24,3620,416,6082,623
656,20,3228,353,2672,519
2062,22,6890,662,591,51
5801,21,6111,670,6310,811
4005,32,5524,662,591,83
3028,34,3683,538,5524,780
1093,31,552,66,4047,645
3518,35,2794,266,3952,501
1219,27,3099,456,6190,1147
2857,30,2495,316,366,61
715,35,12003,2426,1797,368
2991,23,634,80,5102,728
1256,29,2515,352,6695,948
1870,35,462,42,7504,1151
724,31,1338,170,3774,553
2081,22,483,59,6234,967
858,25,425,40,237,55
1022,39,4673,584,4289,734
5333,29,4148,435,1239,169
3857,26,3263,378,261,60
4989,56,3548,1563,3608,1833
1482,43,5810,998,6547,1254
4874,20,7211,985,663,97
2536,32,1988,212,8013,980
233,25,7445,1306,841,134
5565,33,3654,486,3682,368
3245,36,790,108,14806,2380
3468,23,9257,1332,447,89
1112,45,321,35,9626,1117
5389,28,699,79,6866,843
3624,34,797,105,14426,2694
5925,25,1286,155,6324,910
3810,28,1942,220,3995,580
4177,34,7229,952,453,72
1749,26,481,62,8362,779
3894,26,786,102,12403,2273
1407,25,3002,453,5990,1014
3922,32,4427,498,3730,396
2163,22,3107,350,3079,482
1787,32,1817,239,2935,410
223,21,8888,1086,10216,1230
4037,26,434,27,1049,144
1935,20,472,46,8575,1436
4026,29,2730,367,4434,664
2097,30,4446,647,726,148
1740,31,646,98,12246,1902
50,22,2689,341,3604,596
2230,31,4563,827,5435,1230
279,32,571,70,12133,2428
3588,28,546,46,8430,1131
2209,23,2271,301,6254,1048
2555,26,5255,965,519,108
891,33,11175,1805,1339,229
2065,35,1579,222,2867,494
813,28,667,113,9875,2248
3239,31,4354,651,2164,387
1330,33,1389,215,1803,306
1549,37,4962,948,8900,2187
1024,33,5905,1151,10453,2951
4934,21,3733,447,3042,411
2501,37,2456,209,1341,161
4115,19,3684,332,497,94
2043,35,1997,286,3052,466
2840,35,3748,758,4790,1038
80,24,4122,450,649,91
2430,26,558,72,11353,1609
898,40,375,43,1186,220
2612,29,5983,623,470,78
678,31,601,73,10149,1323
799,32,5822,807,7417,1006
1990,22,8966,1345,431,62
910,26,395,60,201,45
2167,25,4424,555,758,155
636,31,1620,217,3454,529
651,18,15151,4675,598,158
403,26,6664,1765,341,88
6078,24,4823,573,583,78
4248,27,2077,250,6462,844
4060,21,1350,131,2360,257
2906,32,549,46,6030,994
2943,29,492,40,3024,439
2109,27,1629,291,3590,857
2867,26,5962,746,351,71
2911,35,13065,4057,483,119
5145,34,465,45,9018,2053
4176,24,4607,674,815,151
4033,27,749,109,10494,1856
2838,23,5340,854,6472,1259
5906,24,4576,568,7635,596
3909,32,1227,170,3544,638
3022,30,513,73,6198,972
2215,18,15305,2715,1030,196
4885,27,1539,241,2436,441
1085,20,12602,2114,1062,165
3981,32,3744,646,8286,1200
2827,41,898,106,9875,1283
2011,27,421,36,2732,427
509,32,677,69,5145,797
3050,29,412,47,3824,754
2051,23,450,36,6346,976
4066,27,3882,592,8063,1081
2811,28,1557,132,3093,505
1974,21,3367,534,2458,355
79,24,1816,360,182,41
1042,22,3519,476,7785,622
3237,26,4507,612,2130,241
5329,33,2479,322,3512,489
5050,28,844,101,10994,2094
3099,45,4354,951,6004,1071
2804,30,6447,1190,515,80
6004,27,7784,990,922,151
3039,27,5436,971,5381,957
31,23,1137,115,4941,835
4092,29,633,88,9351,1203
4999,26,3007,314,1147,173
2038,37,10151,1940,619,115
5078,25,375,40,6717,843
1039,25,457,45,14060,2223
5894,27,529,49,12619,1455
3348,26,6175,873,10876,1984
6107,38,5688,831,5544,825
4044,32,5192,801,7924,1030
5716,41,6695,1021,488,68
4071,17,2720,279,4083,619
4041,28,505,49,4594,589
1558,38,488,72,6480,1370
4325,31,3016,483,8342,1322
2110,33,6732,904,1090,115
3979,31,3739,386,5642,808
2822,28,3872,374,2831,324
3279,37,6230,811,1708,255
2394,26,452,91,5514,1559
1098,34,8142,1579,942,241
3526,28,8314,1743,465,104
2256,28,2429,320,2848,484
1983,32,6912,1280,811,149
2705,40,811,140,9863,1738
820,25,423,57,8222,2001
1697,33,8354,1117,435,79
56,28,3552,428,4052,640
4064,24,450,50,10445,1826
2632,29,3596,510,4578,862
3014,33,766,106,11550,1950
2129,21,3265,157,4490,433
5035,20,2304,242,3208,324
1240,30,422,46,6426,1097
1878,33,12559,2839,871,203
285,28,352,45,428,82
1841,33,844,104,3793,719
3027,29,8653,1017,482,67
2158,25,3167,673,3954,789
946,22,6782,1383,4793,820
2989,32,3778,653,338,78
1825,26,10459,1492,855,174
1326,25,3011,420,6224,902
620,30,4668,800,5868,1129
2037,31,695,108,8269,1323
607,28,3003,491,5263,800
377,22,559,54,6569,839
4132,19,548,69,5213,791
1661,26,2291,269,3941,372
1392,31,484,75,8468,1119
926,37,1864,315,3972,648
3207,21,584,61,5266,795
1629,37,1803,230,1818,299
3397,38,590,71,212,52
1886,21,4148,744,2880,585
1182,32,2824,464,5028,466
764,30,1589,292,2646,492
1063,28,5046,742,6579,927
54,25,4203,593,346,61
2753,39,857,99,6518,1126
137,22,296,33,155,33
87,24,8104,2025,434,62
2431,35,393,39,2458,407
482,29,4138,602,5776,838
1309,29,409,53,4011,923
460,42,5218,922,1972,385
720,30,2403,343,2737,458
4042,27,7002,857,570,99
1944,30,7658,1147,720,155
1902,28,288,33,135,31
265,28,13921,2642,679,150
4200,24,5136,580,9221,1081
3541,38,2958,428,4448,783
2271,32,381,62,5589,1030
2791,33,3222,439,7006,1127
1072,31,478,51,7482,1009
861,32,10532,1528,3162,593
1946,28,4851,711,6742,1154
152,29,6990,1096,5264,847
3340,28,1698,226,14141,2306
1276,29,600,65,6046,1087
4222,30,2014,258,6082,1071
1079,36,594,87,5278,662
3968,35,5427,1213,9683,2354
2304,36,1774,197,3248,474
1015,34,8257,1303,424,83
1277,21,546,56,9374,1101
594,35,2694,334,6242,907
2788,27,3972,676,506,94
401,18,2721,523,9238,1229
1824,24,4192,553,496,67
890,39,1406,199,1941,310
147,27,2262,436,955,219
1573,31,284,33,125,23
153,37,2030,257,310,59
1804,26,2307,415,3494,719
756,40,6578,878,603,91
751,29,1813,239,3483,486
2952,29,2012,295,1901,255
2436,28,7337,854,840,97
814,24,10593,1877,2571,534
2324,34,374,51,5145,1265
1086,33,7815,1423,581,99
102,32,1671,212,2518,453
963,36,6191,1136,1000,185
3060,24,1225,215,8097,1141
658,39,3412,542,3083,584
5260,26,686,83,8466,1094
5413,23,3635,436,385,47
5003,38,2815,378,4398,585
6103,25,3559,397,7611,1013
5114,20,768,101,2131,293
3392,38,7350,1005,759,129
1365,29,334,42,159,45
5846,35,8604,1850,705,179
3303,31,504,69,11855,1957
3887,25,4019,680,237,45
2182,24,3085,456,4852,777
5117,32,6364,1041,9733,1864
2122,32,4037,388,1948,241
2813,27,610,65,8353,1284
654,28,8586,2895,846,230
5744,36,5576,745,458,95
5361,27,401,40,5979,657
3858,24,7143,939,835,173
5500,23,10968,1569,1109,175
4145,27,6242,760,556,87
5013,29,8301,1765,940,233
2409,27,1846,243,2109,403
5229,25,4973,825,344,60
5686,29,3944,861,6032,1264
4214,27,2586,258,3679,350
5615,34,564,62,8280,964
5968,38,3452,405,6511,842
5290,52,1554,570,7757,3803
3885,29,313,38,150,33
5282,28,283,27,146,32
3988,26,2149,245,2290,301
5243,31,594,74,9654,1564
3947,24,3851,586,5889,854
5009,24,3633,388,5739,926
1449,23,942,146,470,150
5517,25,3713,384,5958,846
3833,38,3864,400,5562,658
5698,28,1084,169,10071,1418
5060,27,2307,367,7231,1228
4101,30,4855,571,448,75
2350,25,6841,1111,747,100
3845,26,387,75,301,95
2424,33,493,60,5577,699
6060,22,3332,475,8302,1253
3630,33,2627,374,5929,929
3896,24,3845,658,6958,1044
1628,23,884,152,9121,1402
4247,28,6361,979,971,150
2896,28,3863,606,464,84
2416,29,4421,835,5228,1035
368,35,7617,1730,950,197
5576,30,3543,470,3844,505
4982,23,2807,398,264,58
3145,28,5135,710,7458,1085
2003,27,6545,634,1234,222
5132,23,2536,318,301,46
3515,29,10175,1408,592,110
5926,22,5225,556,11591,1804
3489,37,2597,304,4031,511
4974,22,7825,1381,515,103
1178,32,3053,689,5895,1109
2369,32,5282,852,474,82
4270,35,513,67,11789,1991
2425,26,1564,156,2169,266
1578,33,269,34,128,28
815,36,3175,389,3277,409
3096,30,3311,407,7343,881
2902,30,9099,1644,861,174
3153,17,3369,331,6921,662
1577,20,931,96,15188,2060
1866,23,265,23,132,20
609,30,6034,1000,430,89
2094,33,535,87,6190,894
592,40,295,33,141,39
6124,29,368,40,5035,1220
6015,31,2099,249,357,68
4848,33,400,41,5282,754
5799,27,596,33,9304,1170
2983,39,3928,466,3199,608
3536,36,4863,491,3998,460
2885,20,3278,641,6593,1189
5300,30,7975,1491,11903,2016
5160,33,490,56,1961,351
3346,33,3741,371,5409,782
5736,27,566,76,14651,2165
5739,31,453,51,6683,802
5966,22,427,66,11492,2863
4090,24,421,44,9940,1421
5449,36,1637,230,3927,489
3711,35,2804,378,7243,1024
5133,36,2873,402,3692,675
3478,30,3943,653,3227,606
3157,35,11222,2284,971,180
1980,24,3895,714,280,45
5639,28,1483,200,7931,1163
3737,27,1958,221,5480,693
5985,30,331,36,1224,227
3706,29,7760,1363,846,156
3111,36,3114,290,4195,536
4301,23,5697,572,442,94
2802,33,479,52,9366,1416
5817,25,3798,458,7429,745
5583,33,3691,406,4087,526
3924,32,2872,409,4491,646
5759,28,5043,1036,5153,1105
5357,34,6782,935,838,100
6035,18,303,15,158,31
4020,21,7760,802,1002,113
5725,35,617,63,13772,2261
3440,34,3978,656,5356,921
5664,18,1082,209,4527,943
5158,20,302,36,155,15
5252,26,8082,884,727,86
5710,32,3443,222,3236,399
4223,35,3745,480,4189,635
6115,28,2559,332,8634,1783
3101,27,3116,729,3866,953
5375,29,2061,295,3233,498
5082,28,558,76,7106,675
5573,20,9119,848,343,46
4279,31,2839,264,3280,530
2739,31,497,76,7088,2026
5754,23,2984,460,5879,1156
4312,24,3749,461,5402,615
5328,22,1472,174,6652,614
4151,23,1840,268,6077,1006
4957,18,404,46,13917,1738
1685,26,14577,3000,1139,169
2892,31,389,40,5110,782
10,30,11038,1964,799,147
3008,25,281,38,135,34
6117,29,5555,1188,7142,1403
4091,25,7429,1093,4542,694
5715,36,492,51,11820,1629
3958,35,2299,225,290,70
3970,27,3547,383,6664,1054
2801,20,1658,205,530,122
4300,31,2836,537,513,83
2768,34,3295,501,6259,809
3562,35,5654,711,1847,313
1913,23,8252,1440,5780,964
5371,20,3476,425,3563,503
4880,13,3788,384,6965,1053
3741,27,690,106,11258,1851
2413,30,1921,226,3109,476
5047,26,1672,163,4815,639
1989,21,3886,577,7200,909
2439,28,4748,680,532,69
256,40,8108,1508,8175,1826
5683,25,3996,964,4294,901
3986,25,2529,182,4349,568
4991,17,8600,1267,463,91
2127,36,592,82,8993,1217
6041,22,6750,891,582,82
3156,27,540,60,11284,2549
5394,28,577,85,6312,828
4216,23,2240,275,2598,277
1696,30,752,140,443,120
4197,31,5847,649,1217,196
1080,27,3059,588,416,88
3734,23,447,51,5777,1052
2828,41,2177,298,2090,338
2277,29,971,151,7087,1409
130,29,5761,909,750,198
3906,42,2263,287,2885,427
1658,25,478,41,9946,1671
3712,30,4849,628,376,85
2432,37,613,68,4433,651
2370,36,11594,2277,948,179
2164,16,572,43,3070,332
701,37,402,52,410,95
5246,17,4528,615,325,60
5093,22,7364,1116,1182,148
2418,22,2800,326,7885,800
2016,22,9119,907,7002,681
5724,33,2304,246,3678,616
3783,34,413,78,3243,638
5581,21,528,85,15871,4023
3805,26,2220,309,4108,734
4292,28,563,80,18045,3334
1586,28,6738,1118,978,152
3923,30,2358,357,2920,436
1610,23,9331,1450,590,76
5961,26,5551,1122,10559,2288
4180,27,482,39,6237,704
5643,30,446,60,4126,491
4250,23,3283,381,3574,447
5734,17,712,81,13789,1903
5104,32,3539,591,4348,775
3511,30,280,31,140,36
864,26,2081,258,8583,803
3789,27,6132,1038,7758,1339
1041,26,431,46,7861,1025
4072,28,2274,338,6775,1152
1203,26,1111,176,9907,1364
4162,40,7213,886,405,81
2327,32,3218,430,417,74
2406,27,399,40,12203,2193
925,24,2045,256,3424,421
4208,24,3157,619,4820,1037
2331,25,482,55,8562,1158
3465,28,461,47,8743,1422
2216,28,1423,158,9158,1108
2039,30,8623,1529,423,57
515,30,468,51,5787,1032
2099,21,9437,1036,558,118
315,29,1275,131,4365,519
3314,23,703,71,12874,1466
1553,21,549,50,10869,2139
4217,31,1756,186,10275,1559
2893,26,3316,389,6199,816
4004,25,498,88,7208,1952
1384,43,8235,1380,759,126
1272,28,5514,917,6099,932
778,44,568,78,378,63
2326,28,596,71,13249,1827
66,36,707,86,11569,2037
2661,40,5630,708,545,120
1011,15,9058,1787,1059,192
44,30,8814,945,247,60
5154,29,326,39,186,59
3919,36,3228,475,4794,777
5250,29,5323,768,393,77
3704,35,405,51,6228,858
3937,29,695,101,12412,2240
1790,27,2399,267,5221,801
3,31,7340,919,728,105
5221,30,786,78,13053,2253
2964,24,5626,856,465,104
5588,13,1130,133,2682,442
5958,24,4623,634,7559,1177
5981,27,498,51,12776,1811
4022,26,2914,353,6430,721
5452,17,5147,660,7223,953
3977,19,2616,353,228,53
6099,20,8236,858,1932,221
3083,24,3489,612,5314,971
2990,33,3437,398,6171,996
1333,21,6405,958,6561,1180
5723,25,316,34,381,114
4111,31,3982,578,7304,1028
5365,24,531,62,10833,1048
3063,31,1994,265,5971,880
3089,31,7049,1260,4715,877
2149,28,4687,516,6130,664
3972,31,13259,1918,596,75
1564,30,1123,145,1628,347
5276,52,3330,1947,711,432
5834,27,9242,1297,877,128
5241,40,7687,1016,596,105
5910,34,5396,883,8500,1666
5618,30,3083,346,6473,714
4255,23,457,56,11814,2256
5548,30,4058,427,219,47
3498,27,474,53,6438,801
5244,21,519,92,8615,1967
5903,27,412,54,6787,1019
6139,30,258,22,131,26
4952,29,3882,503,9015,1071
5348,24,2668,341,8389,1236
4198,26,10576,2488,1958,427
5960,27,465,58,4307,771
2954,23,10208,2830,781,185
5650,21,3392,522,6211,737
3888,25,464,69,2765,465
4038,35,5558,872,498,85
2232,23,2741,409,7751,1383
5600,30,1493,167,4588,512
5025,34,4362,477,2571,368
6012,33,3576,495,4462,587
3295,40,3686,607,6229,1081
4317,25,482,65,5809,744
1104,28,2275,302,3734,492
3985,33,587,69,11681,1518
2903,27,1500,228,3217,613
5893,26,4604,608,5962,743
3105,26,2523,338,4730,668
6030,29,3993,439,324,68
3115,28,1598,242,10899,1604
5444,31,548,52,8696,1246
3049,36,5216,539,8684,1118
4104,24,4776,681,495,91
1173,32,1882,279,206,51
3503,19,6248,780,5822,898
1595,27,2408,381,2236,336
5764,25,2919,287,4920,643
28,29,1207,238,1418,356
4283,27,441,52,5142,839
5854,30,3616,505,5554,552
6002,30,779,73,282,50
5291,22,2183,278,18260,1849
3354,27,6198,954,7467,1452
5397,24,4861,1070,7587,1650
3393,45,4340,437,6386,886
5842,25,406,48,7957,1191
5257,29,3385,614,2716,445
5935,17,4313,734,6727,719
5941,36,1364,190,1891,261
3001,29,3190,430,4573,695
5330,30,2958,367,291,51
3495,34,7123,796,698,152
5982,32,4313,606,6459,1004
4134,40,5330,782,505,69
6007,27,1500,257,2807,428
5140,30,5600,873,536,121
41,29,1804,187,6804,745
5632,26,515,51,9355,1408
5678,25,1351,178,3066,609
3533,24,6174,1369,536,94
5823,33,6062,593,792,125
4229,32,505,62,8018,1157
5959,31,2869,393,7764,1303
4219,24,362,27,7732,992
6059,30,4458,497,531,120
3871,21,596,43,10918,1309
1066,26,3820,435,3544,528
5251,13,828,74,5193,695
4156,30,1039,224,8886,1650
4990,29,1285,169,6728,695
1753,29,1100,125,13269,1868
5163,22,3423,612,2443,454
3377,39,3319,380,4287,715
5211,25,2100,281,481,108
4290,26,3411,458,803,123
3930,35,7681,1448,646,125
1390,32,10122,1692,522,91
3933,24,1982,229,3105,429
2807,28,3366,593,3661,646
5524,33,4310,516,6692,905
3137,34,348,42,269,64
40,26,608,65,7453,1067
4057,33,554,75,8617,1505
5468,46,626,87,7757,1031
3686,28,6111,783,574,114
5054,24,7239,1138,462,77
1077,23,383,34,2822,408
4016,33,2923,367,2929,409
2843,19,825,119,5762,694
2934,21,3976,466,5499,598
1969,22,616,73,8580,1298
5510,27,3856,451,5309,812
4123,25,475,61,8375,1329
5383,43,339,32,2867,518
