Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
5607,22,5663,1076,590,97
5242,18,8178,993,724,104
4307,32,378,43,6748,911
5629,23,1105,212,6391,1351
3463,23,595,92,14141,2832
4238,32,4098,612,6842,1331
1766,25,2245,264,478,83
5973,23,6532,792,788,106
3746,41,6307,925,1404,220
3069,32,3290,408,6811,953
1784,23,579,59,7263,1054
4153,28,3255,315,397,72
2854,19,4574,711,3600,638
1164,36,4274,494,1270,178
606,25,2031,240,2211,271
5669,26,536,77,14351,2492
2962,29,9479,1977,603,114
3293,24,3575,353,6032,846
1046,25,378,42,6852,1215
4872,28,5870,901,10874,2359
1644,39,761,139,16284,4159
2748,34,6235,1438,5870,1362
70,24,2820,217,2150,328
4947,26,3164,350,2071,291
1311,31,8388,954,1064,147
1611,35,448,45,14773,2434
649,21,736,80,7093,827
974,25,756,140,7924,1837
744,31,7161,789,1172,165
5293,26,3262,496,8137,1232
3865,31,5667,813,5238,562
33,32,4239,1076,6716,1826
3487,26,445,71,7702,1140
4304,22,471,51,4706,596
1125,36,5449,781,4868,937
5653,29,2148,234,4703,688
3722,34,7225,800,501,73
2966,35,497,58,8226,1545
1138,22,373,50,1272,245
4843,33,584,63,7515,1013
2139,26,4242,547,7296,982
1739,35,409,48,9168,1747
174,30,1939,260,1228,230
6016,32,5074,552,1384,193
5798,31,4127,830,10957,2098
4150,31,2110,220,4013,575
6068,22,681,90,10279,1203
4202,41,571,71,9281,1739
1228,31,707,86,13303,1600
5878,20,2350,250,3604,500
38,30,3295,406,6188,1074
5322,27,6125,1055,4799,810
27,24,824,64,9223,1045
5786,36,4346,750,365,58
3792,25,407,63,141,29
5800,32,2805,397,4551,811
3041,25,646,59,14064,2062
5560,26,8299,1543,4068,707
4018,28,3225,394,7702,784
3846,31,4119,449,355,88
2693,30,1970,261,3560,492
5688,31,2044,212,5377,830
4287,22,3018,338,7768,1051
5962,35,458,59,3724,612
3920,25,2079,151,3672,367
4939,22,8586,1276,439,68
1885,30,377,50,266,50
4148,33,587,85,7579,910
1563,31,2515,273,4021,547
5310,22,369,48,12359,2034
4133,29,3442,457,6558,776
4901,29,3761,755,11397,2097
2895,23,3639,556,6798,1060
4154,21,2726,367,4604,599
1227,27,5856,927,4310,588
1702,28,1772,182,4910,504
230,34,1324,149,1927,269
5508,35,363,49,3588,451
2939,27,9768,1250,695,108
2927,30,2894,319,302,62
2330,31,560,57,7280,1240
5504,25,3942,438,4169,632
4228,26,488,59,11304,1524
5179,30,5816,692,517,87
3285,30,645,89,16824,3641
4976,25,3655,414,4460,630
1676,39,1918,443,1527,318
3318,44,5013,603,6161,791
1762,27,15657,3470,603,133
4028,29,4604,596,11348,2015
1771,33,3482,441,7171,922
1389,21,763,76,10323,1012
697,27,2225,256,2546,291
3800,35,3331,479,4407,675
1707,26,378,35,6722,1203
3987,34,829,133,11652,1591
1646,31,8137,1593,959,181
1893,30,4763,495,808,121
2328,30,2265,328,6073,735
5546,30,1848,245,4777,622
5052,38,653,78,8810,1538
4259,19,4170,399,9585,892
1319,25,2992,371,703,60
3103,20,1879,186,4252,607
1874,18,3305,463,5308,631
1799,27,7616,1465,5723,1357
634,37,1595,234,5803,750
4073,25,6106,1202,584,112
1653,34,9246,1823,803,176
2871,38,5504,838,4341,650
737,36,278,32,139,28
2879,34,3538,444,3121,350
915,33,4583,778,3652,636
361,31,440,41,12347,1578
5788,25,1098,91,4388,599
3500,39,3858,449,3277,429
3730,22,5302,801,532,83
1826,32,2176,229,446,86
4149,28,3804,881,9212,2209
1655,32,5311,709,450,78
1051,37,10751,1415,739,137
125,22,993,143,9958,2018
5537,25,2577,377,4463,508
5074,35,2085,304,371,72
3934,30,638,87,11558,1878
