Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
5607,28,622,68,12401,1805
5242,28,7517,868,569,111
4307,34,2882,318,446,85
5629,21,1748,246,7441,971
3463,32,7179,1007,894,154
4238,21,11114,1371,566,84
1766,31,1611,238,1969,283
5973,25,3010,294,7589,775
3746,35,548,71,12063,1685
3069,23,9343,1118,664,119
1784,23,610,71,8075,1530
4153,23,429,52,3247,323
2854,20,4749,729,6859,1189
1164,29,489,63,4157,644
606,35,2518,459,2230,353
5669,22,6653,1466,10711,2024
2962,31,8999,1323,987,149
3293,39,9418,966,1689,240
1046,32,1591,150,4766,551
4872,30,11573,1686,2361,455
1644,32,8331,879,12382,1969
2748,22,10793,1156,417,65
70,30,6466,813,395,57
4947,30,3568,529,2381,469
1311,33,650,94,9594,1175
1611,40,524,66,18123,2565
649,27,5342,713,930,110
974,26,9835,1656,1133,202
744,35,5940,851,1031,171
5293,31,7363,839,910,226
3865,29,739,93,10638,2014
33,33,671,104,13544,1746
3487,26,485,77,7861,1170
4304,26,473,56,4979,626
1125,34,6363,826,5423,924
5653,29,3652,385,747,105
3722,29,8773,768,669,126
2966,30,8496,983,519,83
1138,34,458,62,1635,199
4843,21,4291,416,4197,466
2139,28,4958,568,7596,1087
1739,36,470,45,11249,1771
174,27,1700,214,8406,775
6016,25,566,65,3181,290
5798,28,505,57,14157,1652
4150,30,3247,607,548,81
6068,32,748,67,12102,1557
4202,27,590,54,10150,1371
1228,29,6138,838,10818,1047
5878,27,645,60,7281,930
38,27,8188,824,3113,434
5322,23,9403,1334,892,161
27,30,775,132,9410,1530
5786,35,2605,303,3628,576
3792,30,442,48,154,47
5800,31,665,65,7273,1056
3041,20,10518,1563,631,91
5560,20,11244,1015,2366,238
4018,28,6598,513,987,217
3846,31,4932,630,377,89
2693,19,942,106,4132,446
5688,27,2825,299,6301,734
4287,22,8200,1209,802,121
5962,23,3802,642,996,167
3920,29,585,64,6931,990
4939,24,6627,777,438,63
1885,24,782,90,9617,1430
4148,24,625,141,5104,814
1563,35,586,69,7191,932
5310,24,412,53,10515,1129
4133,32,782,111,8793,891
4901,18,559,62,13984,1811
2895,27,8098,916,909,149
4154,23,6444,651,609,134
1227,39,9188,1676,604,113
1702,23,610,78,8572,1197
230,35,446,72,3585,548
5508,20,386,42,3715,435
2939,32,646,58,12605,1339
2927,27,485,66,3487,420
2330,28,554,56,5403,697
5504,28,760,79,8571,1178
4228,32,6890,576,562,66
5179,26,562,62,10181,1619
3285,26,766,88,13321,1242
4976,22,1197,108,7674,646
1676,33,3527,591,439,100
3318,33,603,73,10609,1633
1762,31,12166,1731,5214,780
4028,30,1716,191,18057,2151
1771,36,1810,257,10723,1871
1389,37,6619,701,6625,889
697,26,3454,251,2936,426
3800,24,7694,1215,532,83
1707,32,1736,188,5048,567
3987,27,1073,154,9488,985
1646,34,574,77,8532,1081
1893,28,944,105,5765,684
2328,42,481,50,10492,1295
5546,28,474,48,9150,862
5052,36,976,121,8136,1089
4259,20,443,45,12330,1206
1319,33,473,34,3454,454
3103,35,5194,695,432,62
1874,23,659,98,7356,1194
1799,20,15748,2864,927,174
634,30,3800,395,2261,264
4073,21,4617,645,685,73
1653,27,12260,1686,822,134
2871,31,12386,2002,1396,185
737,25,292,42,132,34
2879,23,577,66,7191,815
915,29,5436,663,4140,570
361,25,9076,1396,607,89
5788,21,3163,420,879,160
3500,33,563,68,6461,629
3730,29,4264,663,3541,554
1826,28,1573,207,2248,288
4149,24,5415,848,10071,1276
1655,38,3468,607,4320,656
1051,13,13329,1015,805,138
125,27,990,133,11546,2194
5537,17,3040,376,4809,494
5074,34,506,56,11381,1182
3934,25,779,79,13199,2317
1617,41,434,47,9045,1154
5877,27,5681,851,641,129
4823,16,473,54,10224,1259
6020,24,318,25,414,72
5127,23,3407,377,5385,613
4334,25,811,118,9493,1083
1757,31,3498,438,7201,1100
4261,22,515,78,7940,1391
2354,28,486,47,6863,650
3283,28,5205,672,5301,843
1959,23,6589,682,773,133
2741,23,5017,576,5849,902
178,22,10996,1720,943,158
3363,28,592,91,6351,1113
1647,33,463,55,10332,1330
3677,33,425,60,2695,508
1808,32,2902,454,335,47
2597,33,298,29,158,35
1002,38,9048,1061,660,93
2373,35,694,79,9431,1215
718,21,708,130,6127,1089
3752,18,3783,428,6813,887
1679,25,3052,338,17610,3032
1640,23,619,79,14739,1833
931,28,776,92,869,140
1671,38,811,83,8095,1216
3305,25,3982,546,4990,684
437,26,5327,873,8558,1521
4158,28,1251,118,12439,1310
1321,25,8614,1208,1922,247
2485,32,5938,792,655,152
5097,36,1136,131,183,39
2162,33,5153,606,448,62
4077,25,7121,859,3394,567
2022,30,7787,1152,1235,172
1984,32,12206,1880,949,251
884,28,547,82,8886,982
1040,33,524,57,3152,410
154,30,5945,778,6289,927
1645,38,491,48,5908,981
960,27,571,72,14038,1643
973,30,539,68,8060,1098
2692,39,5081,813,792,155
942,38,8383,1179,6991,1037
1869,27,624,66,11884,1428
74,31,3888,484,5364,832
662,30,433,63,238,50
5660,22,530,54,9959,710
5750,26,493,69,2774,328
6137,31,1457,135,9853,976
3398,37,404,47,4405,625
2941,25,5714,675,660,87
2261,39,6278,1179,460,85
5599,24,9057,1646,577,120
3381,73,1858,894,1537,832
1225,38,454,62,4587,780
4000,31,574,54,13078,1438
2798,27,7428,1023,670,109
1693,34,2149,294,6104,971
109,31,747,64,5669,687
5214,29,8042,1175,409,81
5591,29,482,47,4175,450
4207,31,529,107,3835,656
5806,23,3592,444,527,83
2915,35,4983,719,545,87
3092,36,5825,679,5999,708
2136,27,4959,563,645,113
5655,28,6303,489,5922,604
30,28,480,52,13021,1736
4985,56,4358,2019,1131,563
5159,26,343,30,5669,654
5297,30,1345,182,1831,280
5236,24,962,107,17112,1932
4239,21,6054,660,820,106
5933,17,10124,932,1057,119
3399,26,2060,277,10879,1440
5170,36,5566,796,4388,791
5067,26,609,115,8443,1775
3520,31,393,34,3619,334
1743,26,3310,423,4366,509
5177,25,3491,418,6402,987
3002,42,3817,390,324,53
6034,30,5657,518,2345,411
3780,22,729,65,4574,622
5021,38,9181,1150,1046,235
1967,22,6910,1082,1238,242
3826,31,435,37,7972,1191
2728,36,5593,615,1521,206
6070,31,823,81,8410,1137
4276,33,5194,679,5691,702
4870,30,720,87,11402,1353
1651,28,609,80,7069,969
3740,32,763,103,12936,1817
1320,28,4567,575,669,135
2834,30,3670,445,3776,403
944,25,8481,1102,442,69
5917,25,313,41,151,38
3370,22,543,69,11766,1128
4931,23,965,120,3872,548
2420,31,5410,728,284,41
5475,20,473,44,10567,1304
3860,34,505,56,6705,858
5888,30,5145,623,4581,643
3132,29,567,86,8870,1190
4118,36,2579,347,425,92
1842,26,2894,493,20625,3929
3523,34,8954,1049,469,80
1600,34,10197,1349,628,103
2932,27,667,104,7306,763
1335,31,457,57,10853,1622
2401,33,5336,893,491,120
4950,27,2374,207,9588,1157
3633,36,656,80,9306,1396
1850,20,5135,447,1784,252
1994,27,8801,1450,6172,1265
977,38,11063,1366,6961,1147
2717,33,5580,676,465,81
542,29,404,32,2644,460
5384,31,620,69,1266,165
5880,24,7523,517,9003,704
4010,34,2447,211,6599,665
3031,26,3375,436,368,52
3380,68,5406,2717,729,358
2168,25,376,44,2917,477
5885,21,5208,818,6263,842
5700,29,480,55,7268,1102
4075,29,585,73,10093,1043
6126,23,628,60,7291,810
5184,26,465,67,4582,673
6110,34,3750,509,4853,657
2985,26,522,45,4692,586
5381,21,8797,1100,547,92
4107,29,9723,1312,1058,149
5572,32,4590,641,8827,1215
2960,32,570,64,8938,1242
4850,24,2967,499,402,75
2363,28,3437,545,7432,1381
5988,24,2116,255,15240,1969
3963,25,5789,446,6521,636
5769,24,1111,72,2344,260
4049,29,8215,1513,4628,765
3191,36,410,49,6908,1030
1968,26,449,100,222,56
3893,30,447,46,4610,754
1884,34,8786,1139,1112,191
5180,24,9831,1136,1680,232
5884,28,2956,544,291,60
3324,25,6610,1192,4168,595
6123,31,1060,155,6156,943
5879,23,5675,850,12331,1630
6140,19,5914,574,7892,816
3072,21,546,67,7307,1217
5955,19,329,28,203,50
3051,26,987,110,4621,434
3962,32,974,98,13386,1419
5378,39,588,64,7313,1027
5708,28,441,68,6246,1104
6080,34,6442,860,6589,774
3433,29,479,72,313,73
5672,23,4537,596,6978,1079
3091,26,566,87,7166,1245
5534,36,1721,153,339,83
3150,35,5367,590,848,127
5633,30,556,62,9389,915
4173,29,1656,221,3939,532
4046,22,4856,531,4632,533
1344,31,714,75,16121,2330
3913,29,1542,197,7815,1107
5321,29,304,33,181,53
5091,24,450,46,7035,1259
3842,29,6627,725,501,97
2403,35,5828,665,654,91
4161,19,517,61,4249,496
2187,29,8628,975,573,61
5567,22,634,88,9210,1203
3171,33,8159,867,936,149
5670,24,11379,1432,848,127
3141,34,2463,375,2740,485
