Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
5607,28,2509,262,407,55
5242,31,5852,928,487,92
4307,30,386,34,3289,223
5629,25,1373,146,3433,442
3463,44,888,147,10577,1721
4238,31,4253,650,4429,695
1766,24,3399,230,567,105
5973,33,7210,1010,858,119
3746,29,3962,443,1130,243
3069,39,3217,365,5040,619
1784,29,1078,146,5411,873
4153,33,1525,233,345,52
2854,26,6037,590,2468,219
1164,29,2784,373,740,148
606,33,1609,212,1241,171
5669,31,1003,138,10376,1579
2962,29,9164,1433,588,89
3293,35,1270,135,4412,553
1046,42,483,62,3064,431
4872,40,4702,655,9754,1526
1644,32,1264,147,8317,967
2748,35,5888,905,2939,394
70,32,2872,239,1283,184
4947,37,2465,284,428,72
1311,36,6302,983,999,162
1611,17,791,39,11503,1170
649,14,820,113,3327,627
974,27,1392,195,3492,482
744,26,5379,664,869,137
5293,29,3683,345,4625,405
3865,30,5839,852,2623,475
33,26,1500,225,4838,775
3487,25,539,45,5014,472
4304,23,542,50,1752,241
1125,33,5339,712,2590,391
5653,29,1807,178,1472,183
3722,37,6221,681,1368,198
2966,29,788,86,4471,532
1138,26,413,44,539,83
4843,24,523,61,2648,303
2139,35,5863,804,1323,224
1739,32,553,56,4235,642
174,36,1929,358,1369,279
6016,31,4148,383,1011,135
5798,28,5015,688,6210,738
4150,26,2210,224,2199,235
6068,18,1075,114,6476,786
4202,18,831,84,6416,775
1228,37,989,99,8479,1234
5878,35,2269,313,2195,345
38,27,2206,262,3826,613
5322,19,6523,594,3093,384
27,32,1016,106,4309,525
5786,25,2199,290,227,39
3792,30,380,60,159,28
5800,16,2790,256,1726,245
3041,32,1326,106,11494,1317
5560,23,7415,948,2568,390
4018,24,3173,275,6674,847
3846,39,2864,330,323,56
2693,29,2355,274,1537,245
5688,23,2204,236,3867,358
4287,36,3616,352,4385,386
5962,16,534,66,2102,394
3920,35,1639,215,1275,208
4939,28,5617,838,544,126
1885,29,436,36,187,31
4148,27,707,90,3649,527
1563,29,2877,394,2373,258
5310,27,677,67,8293,1123
4133,30,3888,479,3501,446
4901,22,4510,514,6712,867
2895,20,3963,383,3480,446
4154,23,2940,318,1306,179
1227,31,5684,841,978,166
1702,27,2019,158,2891,384
230,25,911,152,1055,197
5508,24,613,45,2567,232
2939,29,6254,544,633,81
2927,37,1354,193,353,53
2330,36,1237,132,4585,573
5504,24,5133,561,2204,340
4228,27,1501,167,7533,948
5179,29,5045,692,624,82
3285,30,1560,210,11301,1731
4976,25,3329,539,2909,578
1676,34,1380,168,805,93
3318,28,5412,776,3082,480
1762,26,10541,2609,486,114
4028,38,5132,611,7990,1402
1771,37,4740,695,4666,808
1389,24,1321,134,5164,584
697,38,4202,513,1309,160
3800,32,2619,410,3288,527
1707,30,504,55,3790,508
3987,40,1765,258,8806,1254
1646,33,6237,602,1160,169
1893,27,3323,417,1830,236
2328,33,1656,222,3877,527
5546,23,1535,243,3225,490
5052,19,1433,176,5473,756
4259,30,4359,761,5580,1097
1319,20,1212,115,385,57
3103,24,1729,117,2470,250
1874,42,2830,355,3843,635
1799,35,8307,1585,4513,990
634,26,1145,134,4638,586
4073,29,3179,454,2911,558
1653,20,6695,1059,617,95
2871,34,6584,800,1240,139
737,25,278,25,128,28
2879,29,3462,470,1757,260
915,37,2535,251,3004,426
361,31,762,60,7368,711
5788,24,507,49,2295,327
3500,30,3266,338,2314,400
3730,29,4049,616,420,80
1826,20,2316,280,468,98
4149,31,1432,153,9172,1155
1655,29,3438,502,428,73
1051,24,7957,800,628,113
125,30,1855,241,7256,1025
5537,24,2548,276,1974,198
5074,30,1538,201,283,57
3934,29,1354,201,7045,1045
1617,29,689,60,5616,712
5877,35,2291,322,4068,548
4823,31,2702,324,3933,619
6020,32,297,36,259,36
5127,24,761,91,5052,699
4334,27,1849,212,7897,934
1757,26,3468,345,4899,584
4261,25,4731,782,2620,414
2354,28,2417,348,2081,339
3283,36,3692,562,2715,449
1959,18,848,131,2151,383
2741,28,1517,142,2184,173
178,37,4230,611,3342,469
3363,28,2498,336,602,91
1647,25,487,57,6155,752
3677,30,1367,153,783,112
1808,30,1230,145,1709,353
2597,24,291,35,143,28
1002,30,5533,787,621,96
2373,32,6056,958,759,117
718,29,2587,297,684,118
3752,24,5660,808,671,156
1679,27,3245,574,19877,3899
1640,38,707,67,6397,776
931,24,399,39,507,64
1671,23,3016,433,5022,564
3305,19,2216,225,2615,332
437,33,3917,582,5880,1196
4158,30,2109,285,6420,849
1321,25,4980,744,902,153
2485,26,2770,275,1287,164
5097,25,795,84,546,78
2162,37,2705,364,2330,383
4077,24,2370,250,8538,937
2022,29,1342,175,2489,432
1984,34,1298,143,4946,514
884,37,8413,1038,1741,252
1040,35,529,68,1983,440
154,39,854,97,5366,733
1645,29,3212,483,665,137
960,28,782,78,8141,1095
973,35,2114,336,415,79
2692,27,4578,553,900,177
942,36,675,71,8751,906
1869,28,991,84,5701,701
74,32,2638,295,2512,318
662,27,342,33,188,37
5660,24,2951,389,4619,658
5750,20,1056,124,919,149
6137,34,1074,137,4925,630
3398,33,2171,259,2029,340
2941,32,2452,219,516,77
2261,35,4277,505,3442,508
5599,27,3544,440,3075,447
3381,82,825,356,715,387
1225,32,454,47,2307,286
4000,37,2576,307,4615,592
2798,30,513,70,2856,444
1693,26,5862,607,347,57
109,41,1790,238,2443,326
5214,20,514,50,5004,1036
5591,32,4699,513,482,67
4207,39,618,91,4064,740
5806,30,1852,252,383,70
2915,35,495,44,2562,330
3092,38,2042,270,5226,729
2136,18,1475,240,2750,446
5655,20,4611,578,3555,377
30,33,5278,785,1038,164
4985,63,2595,1150,2324,1111
5159,23,1697,222,290,39
5297,30,1093,82,247,38
5236,22,5048,593,5197,820
4239,24,1855,209,1114,162
5933,40,5918,790,5219,807
3399,29,2901,337,4834,637
5170,24,1679,240,4370,627
5067,31,6842,1066,761,143
3520,31,1334,177,935,131
1743,25,516,61,2925,470
5177,29,2728,335,3952,611
3002,28,1460,174,1368,219
6034,26,1399,169,6635,658
3780,25,620,55,3536,439
5021,30,2371,241,8829,1226
1967,15,2692,513,4303,866
3826,27,3576,307,3806,505
2728,31,3330,417,1744,229
6070,30,7878,1003,602,90
4276,22,5185,460,516,93
4870,27,1140,151,9904,1365
1651,27,577,53,2299,256
3740,28,5307,945,5242,871
1320,27,2062,258,748,120
2834,34,2463,296,431,80
944,23,1362,144,11718,1493
5917,25,292,29,131,33
3370,27,2679,311,3874,539
4931,32,2370,216,1824,230
2420,25,1965,240,1529,226
5475,21,9143,1433,630,104
3860,34,2402,216,3467,349
5888,29,4988,374,1011,125
3132,31,786,81,8370,1163
4118,19,1290,105,1604,207
1842,33,15703,3158,909,151
3523,31,4725,669,5318,808
1600,39,4962,751,4062,646
2932,21,3135,341,2434,216
1335,26,687,69,4411,411
2401,33,1538,213,1414,241
4950,26,3452,283,2060,275
3633,31,7780,804,1834,224
1850,26,5636,661,1366,336
1994,24,11090,1759,542,119
977,20,1059,154,8327,1272
2717,25,2148,285,278,56
542,35,2854,429,246,37
5384,26,7129,838,1226,161
5880,20,5953,494,5591,737
4010,24,580,66,5195,557
3031,30,627,67,2470,357
3380,63,3012,1845,482,242
2168,30,1374,203,828,137
5885,28,1392,161,6384,758
5700,17,1837,246,2590,514
4075,31,665,70,5626,730
