Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
3393,26,7832,1091,694,140
5842,29,416,51,10256,1417
5257,33,4142,960,3259,745
5935,23,5270,609,7388,798
5941,31,811,197,2382,297
3001,16,908,73,8448,1379
5330,23,518,65,2735,438
3495,22,6213,1214,621,144
5982,28,7067,946,643,90
4134,29,6128,715,1728,287
6007,26,2213,246,435,83
5140,25,697,94,7102,1067
41,32,5800,734,1007,197
5632,20,586,81,7558,1308
5678,24,2013,285,329,59
3533,26,602,128,9946,1967
5823,28,6563,807,631,134
4229,20,3166,410,5276,664
5959,32,684,62,12847,2085
4219,35,455,49,8779,1409
6059,40,5391,798,604,120
3871,30,4092,553,6153,757
1066,20,622,61,5478,560
5251,30,3687,768,600,102
4156,24,1463,178,6953,744
4990,29,487,74,9174,976
1753,24,15436,2502,892,145
5163,27,693,73,4086,440
3377,29,2717,309,4883,824
5211,36,914,124,5622,661
4290,19,1002,109,6109,699
3930,33,6344,522,2627,282
1390,19,707,75,10282,1712
3933,37,2909,362,463,86
2807,32,1000,139,4205,720
5524,26,7772,929,860,130
3137,27,332,34,257,65
40,29,6772,1271,367,80
4057,29,8081,1115,629,93
5468,31,622,95,8359,1336
3686,29,4735,602,533,107
5054,23,5628,653,1307,169
1077,32,2152,259,480,56
4016,28,5172,470,1146,161
2843,26,718,66,6213,767
2934,36,5107,1081,434,92
1969,30,528,86,6138,1012
5510,21,5599,577,1417,78
4123,20,464,48,7302,1028
5383,33,3437,418,2082,307
3420,28,7108,1045,1133,158
5898,27,9441,1624,1402,242
4896,30,793,117,3525,662
4009,30,5108,698,1476,142
1286,37,2035,253,427,89
5095,25,4926,964,6406,1505
1938,23,4476,600,565,124
4106,23,4113,1127,350,60
1038,26,354,42,5442,1188
4165,29,5111,623,1536,198
1601,43,3918,759,9124,2169
5511,29,1909,235,3870,558
3619,25,3623,441,272,43
3338,25,734,107,16014,1471
2305,31,752,80,16339,2697
4157,26,521,77,6209,569
2254,34,4910,582,621,103
1599,29,3952,408,780,111
740,24,2153,327,2453,293
6038,23,3084,448,520,64
2916,35,937,201,13358,2974
1756,33,527,58,9203,1220
5816,25,5141,674,623,69
3929,44,771,99,10682,1627
2999,21,533,66,10835,1445
3726,23,467,90,3131,650
2205,39,3140,572,511,96
4017,40,2335,378,2891,526
2755,20,2309,329,4994,606
3222,35,475,64,1998,324
2144,24,8596,1350,12221,1853
2252,25,5495,846,1732,296
261,38,7149,1271,1830,294
3877,24,11181,2964,484,114
4206,27,582,73,8950,1442
1742,25,9397,1812,410,96
215,33,622,51,6612,749
717,22,1748,269,349,73
1317,29,4209,448,2531,342
631,22,4977,896,362,67
5379,23,10136,3086,472,135
3539,36,2025,270,4543,665
4876,21,486,32,11688,1575
1864,31,337,41,223,60
5815,26,5061,595,9660,1655
3158,30,1119,123,5092,569
5208,27,3630,600,5618,755
2976,28,6314,804,442,73
3632,31,4854,743,4543,747
4167,27,5767,821,529,95
1170,30,448,50,6037,442
5784,26,800,131,13592,1853
4260,24,4791,661,2277,353
5240,24,294,37,166,33
2913,33,3725,821,509,136
6136,21,7424,667,2261,220
3840,37,633,83,7169,1599
4230,24,5054,638,6353,722
2760,28,3859,473,902,125
3676,26,2831,479,332,54
1604,31,6273,1339,8159,1568
1862,26,1409,216,8518,1597
3892,26,449,98,213,59
1382,37,3602,579,596,107
1711,21,558,78,6153,625
721,28,773,64,5379,755
3936,34,607,77,7233,907
2907,34,710,89,10071,1862
3879,33,8565,1643,1041,173
1306,35,280,37,137,35
2803,31,1663,247,9202,1693
984,36,11014,1680,561,85
1823,27,466,78,5262,819
940,27,3057,355,3622,482
3019,36,3874,502,350,68
2890,32,5174,970,3827,1025
4254,34,458,83,247,55
1341,24,448,56,3776,468
5088,35,491,62,8400,1433
2152,20,7054,1104,7755,1264
2204,32,2788,398,6519,943
430,33,3925,544,7761,990
526,23,331,37,143,35
427,29,3754,337,5205,666
2087,26,499,79,13212,2014
933,17,5131,749,789,127
4900,22,502,61,8424,865
3144,36,868,122,6521,994
5741,24,2107,205,246,69
2951,32,5879,765,5709,779
6052,27,271,21,127,22
3482,27,4911,734,346,48
3007,36,5164,838,6865,1184
2100,28,2784,389,1297,213
3856,32,5586,568,593,110
5268,26,968,98,2265,401
3648,34,613,93,5687,1028
5930,25,5627,817,589,158
4863,24,5010,592,994,149
5679,29,5149,711,6237,1188
3461,24,571,72,3352,573
4069,23,1268,168,8403,1040
2706,29,340,37,892,159
4951,18,1317,119,4532,531
1856,39,4484,634,4142,615
4851,20,846,134,6510,819
2680,26,5662,819,3920,491
1776,32,1605,236,6425,1032
6085,29,304,34,268,44
3965,34,5587,849,5508,789
5899,26,6315,1113,819,93
3990,27,5445,619,2875,489
5851,23,1438,121,8036,986
4019,25,1591,361,383,59
5169,22,1521,153,1335,126
2049,33,2647,431,1497,267
4068,24,4067,659,543,72
4188,38,9296,1954,1238,254
2225,31,1869,297,7479,1373
4268,25,3285,493,4066,710
1087,27,4869,655,1239,195
4137,25,497,42,738,95
1190,43,1002,127,170,34
2995,30,1144,121,19369,3385
2856,32,3014,455,2637,384
3038,23,567,64,14428,1973
1312,32,11735,1462,3373,430
913,32,581,51,6052,859
3075,20,7949,1609,630,145
2143,28,2128,236,3701,387
4102,20,471,44,7968,710
2421,24,521,66,9036,1597
2818,30,1177,171,8513,1050
691,25,540,50,4131,578
1632,38,402,62,10892,1273
897,24,16724,4219,893,151
3045,30,604,75,10691,1881
1250,39,5427,1348,885,227
3569,32,4908,1045,2599,485
1680,39,561,66,5157,852
3299,24,605,78,6160,839
2265,29,628,64,14401,1793
2019,30,3891,760,4801,847
1888,32,16508,3411,680,149
917,32,3624,511,3000,496
2810,29,477,65,3846,707
162,20,9049,1349,448,84
1714,25,8220,1755,1461,320
3931,31,2832,384,2402,403
1109,36,1056,96,5987,819
3479,34,3642,556,5964,1022
1307,34,3077,611,3084,430
3814,25,572,55,6712,779
1191,20,1566,248,2691,471
1299,24,3175,611,301,70
209,23,3650,529,7424,1193
1876,30,5395,802,677,130
614,30,510,91,2190,527
1623,25,8855,1928,634,88
2994,29,621,102,9648,1784
1786,26,10331,972,3824,637
905,25,5468,1407,6904,2153
3330,33,751,102,7703,1390
3315,31,664,99,15405,2679
1060,27,1497,161,343,57
21,39,14126,2627,623,137
3908,27,853,151,13749,2049
2534,36,2743,357,1361,246
1682,24,467,67,4916,1187
585,20,365,55,4680,680
5076,26,5783,876,513,116
2153,32,500,56,4276,589
2458,26,7068,947,1597,239
1003,23,6015,1231,16300,2140
1688,28,9612,1402,1896,327
987,35,9074,1450,1435,231
105,36,398,57,1114,304
5188,27,727,74,7189,838
3995,23,2356,289,2928,434
4166,24,6238,970,2011,307
1581,35,458,56,4106,811
4227,24,878,82,4400,608
1678,26,3213,376,3929,571
1377,27,1481,169,269,55
742,26,3366,418,780,104
6021,30,267,38,164,30
4965,28,921,129,11035,2250
3510,36,569,87,7270,1276
1088,16,2772,392,401,63
6130,37,3328,541,6555,1014
4251,32,791,76,1611,285
5853,26,340,27,3746,432
3375,27,6881,1382,1755,348
3878,24,3019,428,378,71
2155,32,670,99,7497,1081
4211,38,2237,235,4331,400
2868,32,7170,1291,347,77
4116,21,428,46,8525,644
2708,20,831,67,6409,542
2308,40,3277,440,976,140
731,30,452,54,2842,381
3718,34,3772,667,4967,775
2797,29,702,70,5500,1132
2185,35,656,96,4396,636
2322,16,575,77,10151,1209
103,31,870,149,4785,779
1543,31,3248,672,8991,1806
754,41,989,116,7475,858
3881,21,4918,308,410,55
1340,33,11785,2172,1500,322
2352,26,2442,278,6431,910
